product_id,product_handle,video_type,video_url
7643037466733,hubbell-tri-power-countertop-pop-up-receptacle,youtube,https://www.youtube.com/watch?v=B_5R6PrNN1Q
7643037466733,hubbell-tri-power-countertop-pop-up-receptacle,youtube,https://www.youtube.com/watch?v=Jkaxr0aqyu0
7640015667309,hubbell-dual-sided-pop-up-electrical-outlet,youtube,https://www.youtube.com/watch?v=B_5R6PrNN1Q
7629711573101,hole-saw-4-for-point-pod,youtube,https://www.youtube.com/watch?v=EuVbwi4gSCg
7629708460141,hole-saw-102mm-4-for-point-pod,youtube,https://www.youtube.com/watch?v=AAoS6-fB96k
7629708460141,hole-saw-102mm-4-for-point-pod,youtube,https://www.youtube.com/watch?v=OPfLJ2iO2aI
7629708460141,hole-saw-102mm-4-for-point-pod,youtube,https://www.youtube.com/watch?v=_idjKQPfWlY
7629708460141,hole-saw-102mm-4-for-point-pod,youtube,https://www.youtube.com/watch?v=IBAu_OPDrbU
7195109720173,point-pod-boardroom-w-usb-rj45-hdmi,youtube,https://www.youtube.com/watch?v=AAoS6-fB96k
7195109720173,point-pod-boardroom-w-usb-rj45-hdmi,youtube,https://www.youtube.com/watch?v=OPfLJ2iO2aI
7195109720173,point-pod-boardroom-w-usb-rj45-hdmi,youtube,https://www.youtube.com/watch?v=_idjKQPfWlY
7195109720173,point-pod-boardroom-w-usb-rj45-hdmi,youtube,https://www.youtube.com/watch?v=IBAu_OPDrbU
7195109425261,point-pod-compact-black,youtube,https://www.youtube.com/watch?v=QAJNHhx1lns
7195109392493,point-pod-compact-silver,youtube,https://www.youtube.com/watch?v=AAoS6-fB96k
7195109392493,point-pod-compact-silver,youtube,https://www.youtube.com/watch?v=OPfLJ2iO2aI
7195109392493,point-pod-compact-silver,youtube,https://www.youtube.com/watch?v=_idjKQPfWlY
7195109392493,point-pod-compact-silver,youtube,https://www.youtube.com/watch?v=IBAu_OPDrbU
7195109228653,point-pod-compact-black-w-usb,youtube,https://www.youtube.com/watch?v=QAJNHhx1lns
7195108966509,point-pod-compact-silver-w-usb,youtube,https://www.youtube.com/watch?v=AAoS6-fB96k
7195108966509,point-pod-compact-silver-w-usb,youtube,https://www.youtube.com/watch?v=OPfLJ2iO2aI
7195108966509,point-pod-compact-silver-w-usb,youtube,https://www.youtube.com/watch?v=_idjKQPfWlY
7195108966509,point-pod-compact-silver-w-usb,youtube,https://www.youtube.com/watch?v=IBAu_OPDrbU
7195108933741,point-pod-multi-black-w-usb,youtube,https://www.youtube.com/watch?v=AAoS6-fB96k
7195108933741,point-pod-multi-black-w-usb,youtube,https://www.youtube.com/watch?v=OPfLJ2iO2aI
7195108933741,point-pod-multi-black-w-usb,youtube,https://www.youtube.com/watch?v=_idjKQPfWlY
7195108933741,point-pod-multi-black-w-usb,youtube,https://www.youtube.com/watch?v=IBAu_OPDrbU
7195108835437,point-pod-multi-silver-w-usb,youtube,https://www.youtube.com/watch?v=OPfLJ2iO2aI
7195108835437,point-pod-multi-silver-w-usb,youtube,https://www.youtube.com/watch?v=AAoS6-fB96k
7195102478445,v5wub-waterproof-black-pop-up-power-outlet,youtube,https://www.youtube.com/watch?v=QAJNHhx1lns
7195052310637,v3l-motorised-pop-up-power-socket-1,youtube,https://www.youtube.com/watch?v=QAJNHhx1lns
7194891780205,v3cw-motorised-pop-up-power-point-w-usb,youtube,https://www.youtube.com/watch?v=QAJNHhx1lns
7180970721389,v3c-motorised-pop-up-power-point-w-usbhome,youtube,https://www.youtube.com/watch?v=QAJNHhx1lns
7180958597229,v2gsb-glossy-silver-top-black-face-pop-up-power-outlet,youtube,https://www.youtube.com/watch?v=QAJNHhx1lns
7180914360429,v1bc-pop-up-power-outlet-black,youtube,https://www.youtube.com/watch?v=QAJNHhx1lns
7169068236909,v3cw-white-motorised-pop-up-socket,youtube,https://www.youtube.com/watch?v=QAJNHhx1lns
7169067909229,v3c-black-motorised-pop-up-socket,youtube,https://www.youtube.com/watch?v=QAJNHhx1lns
7169067810925,v3l-motorised-pop-up-power-socket,youtube,https://www.youtube.com/watch?v=QAJNHhx1lns
7154321129581,point-pod-connect-black-pop-up-electrical-outlet,youtube,https://www.youtube.com/watch?v=OPfLJ2iO2aI
7154321129581,point-pod-connect-black-pop-up-electrical-outlet,youtube,https://www.youtube.com/watch?v=AAoS6-fB96k
7146163011693,point-pod-connect-silver-counter-pop-up-outlet,youtube,https://www.youtube.com/watch?v=OPfLJ2iO2aI
7146163011693,point-pod-connect-silver-counter-pop-up-outlet,youtube,https://www.youtube.com/watch?v=AAoS6-fB96k
