handle,title,vendor,product_type,region,price_min,price_max,option_names,variant_count,collections,primary_image
v16-pop-up-outlet-with-light-65w-usb-c,V16: Pop Up Outlet with Light & 65W USB-C,Modern Power Solutions,Pop Up Outlet,US,249.95,249.95,Color,2,10PCOFF | 15PCOFF | Gas Strut Lift Up Pop Up Outlets | Home Page | Pop Up Outlets | Pop Up Outlets | Innovative Power Access Products | Primary Products | UL Approved | US Products | V16 Range,images/v16b-black-pop-up-outlet-with-light-65w-usb-c/01-modern-power-web-v16b-us-primary-image.webp
v15-quad-sided-pop-up-outlet-with-usb-and-qi,V15: Quad-Sided Pop Up Outlet with USB and Qi,Modern Power Solutions,Pop Up Outlet,US,149.95,149.95,Color,2,10PCOFF | 15PCOFF | Black Pop-Up Outlets for Kitchens | Gas Strut Lift Up Pop Up Outlets | Home Page | Pop Up Outlets | Pop Up Outlets | Innovative Power Access Products | Primary Products | US Products | V15 Range,images/v15-quad-sided-black-pop-up-outlet-with-usb-and-qi/01-modern-power-web-V15PWUB-US-primary-image-whitebg.webp
v3c-motorized-pop-up-outlet-with-usb,V3C: Motorized Pop Up Outlet with USB,Modern Power Solutions,,US,249.95,249.95,Color,3,10PCOFF | 15PCOFF | Black Pop-Up Outlets for Kitchens | Home Page | Motorized Lifting Pop Up Outlets | Pop Up Outlets | Pop Up Outlets | Innovative Power Access Products | Primary Products | US Products | V3 Range,images/v3c-motorized-pop-up-outlet-with-usb/01-modern-power-web-v3c-us-motorized-kitchen-popup-outlet-main-whitebg_fba732ca-c691-4dba-939d-8e19c30154f6.webp
point-pod-connect-kitchen-pop-up-outlet,Point Pod Connect Kitchen Counter Pop Up Outlet,Point Pod,,US,589.0,679.0,Color | Power,4,10PCOFF | 15PCOFF | Black Pop-Up Outlets for Kitchens | Home Page | Motorized Lifting Pop Up Outlets | Point Pod | Pop Up Outlets | Pop Up Outlets | Innovative Power Access Products | Primary Products | UL Approved | US Products,images/point-pod-connect-black-pop-up-electrical-outlet/01-modern-power-web-point-pod-connect-black-kitchen-outlet-main-whitebg.webp
v15-white-pop-up-outlet,V15: Quad Sided Gas-Strut Pop Up Power Outlet,Modern Power Solutions,Pop Up Outlet,US,89.95,89.95,Title,1,10PCOFF | 15PCOFF | Gas Strut Lift Up Pop Up Outlets | Home Page | Pop Up Outlets | Pop Up Outlets | Innovative Power Access Products | Primary Products | US Products | V15 Range,images/v15-white-pop-up-outlet/01-modern-power-web-V15PW-US-primary-image-whitebg.webp
hubbell-tri-power-countertop-pop-up-receptacle,Hubbell Tri-Power Countertop Pop Up Receptacle,Hubbell,Pop Up Outlet,US,389.95,399.95,Power | Color | Mounting Option,14,10PCOFF | 15PCOFF | Black Pop-Up Outlets for Kitchens | Gas Strut Lift Up Pop Up Outlets | Home Page | Hubbell Countertop Receptacles | Pop Up Outlets | Pop Up Outlets | Innovative Power Access Products | Primary Products | UL Approved | US Products,images/hubbell-tri-power-countertop-pop-up-receptacle/01-modern-power-web-hubbell-tri-power-countertop-pop-up-receptacle.webp
hubbell-dual-sided-pop-up-electrical-outlet,Hubbell Dual-Sided Countertop Pop Up Receptacle,Hubbell,Pop Up Outlet,US,285.95,295.95,Power | Color | Mounting Option,28,10PCOFF | 15PCOFF | Black Pop-Up Outlets for Kitchens | Gas Strut Lift Up Pop Up Outlets | Home Page | Hubbell Countertop Receptacles | Pop Up Outlets | Pop Up Outlets | Innovative Power Access Products | Primary Products | UL Approved | US Products,images/hubbell-dual-sided-pop-up-electrical-outlet/01-modern-power-web-hubbell-dual-sided-countertop-pop-up-receptacle.webp
hole-saw-4-for-point-pod,"4"" 102mm Hole Saw Made for Point Pod",Point Pod,,US,102.0,102.0,Title,1,Accessories | Point Pod | Pop Up Outlets | Innovative Power Access Products | US Products,images/hole-saw-4-for-point-pod/01-modern-power-web-point-pod-hole-saw-drill-bit-whitebg-6.webp
gfci-adapter,GFCI Adapter Outlet with Automatic Reset,GFCI01,,US,29.95,29.95,Title,1,10PCOFF | 15PCOFF | Accessories | Pop Up Outlets | Innovative Power Access Products | US Products,images/gfci-adapter/01-GFCI1_Trans_Main_WhitebG.webp
